ISO_Code,Country,Year,Hydro,Solar,Wind
ARG,Argentina,2018,41.39,0.09,1.42
ARG,Argentina,2019,36.82,0.8,4.99
ARG,Argentina,2020,30.349999999999998,1.35,9.4
ARG,Argentina,2021,25.28,2.2,12.950000000000001
ARG,Argentina,2022,31.24,2.94,14.16
ARG,Argentina,2023,40.519999999999996,3.25,14.49
ARG,Argentina,2024,34.94,3.93,16.18
ARG,Argentina,2025,31.52,5.1,18.63
ARG,Argentina,2026,4.16,1.2,3.05
ARM,Armenia,2019,2.39,0.0,0.0
ARM,Armenia,2020,1.78,0.0,0.0
ARM,Armenia,2021,2.18,0.09,0.0
ARM,Armenia,2022,1.9300000000000002,0.24,0.0
ARM,Armenia,2023,1.6400000000000001,0.38,0.0
ARM,Armenia,2024,1.81,0.48,0.0
ARM,Armenia,2025,2.5300000000000002,0.67,0.0
AUS,Australia,1998,0.0,0.0,0.0
AUS,Australia,1999,6.45,0.0,0.0
AUS,Australia,2000,6.93,0.0,0.0
AUS,Australia,2001,5.95,0.0,0.0
AUS,Australia,2002,5.18,0.0,0.0
AUS,Australia,2003,7.0600000000000005,0.0,0.0
AUS,Australia,2004,4.7700000000000005,0.0,0.0
AUS,Australia,2005,12.35,0.0,0.0
AUS,Australia,2006,14.43,0.0,0.0
AUS,Australia,2007,12.69,0.0,0.0
AUS,Australia,2008,11.27,0.0,0.0
AUS,Australia,2009,12.1,0.04,2.4299999999999997
AUS,Australia,2010,15.76,0.28,4.47
AUS,Australia,2011,13.379999999999999,1.1,5.65
AUS,Australia,2012,15.969999999999999,2.09,6.33
AUS,Australia,2013,18.55,3.18,8.07
AUS,Australia,2014,13.89,4.04,10.08
AUS,Australia,2015,13.38,5.24,11.59
AUS,Australia,2016,17.07,6.79,12.7
AUS,Australia,2017,12.91,7.82,12.86
AUS,Australia,2018,16.69,11.93,15.9
AUS,Australia,2019,13.73,17.75,19.05
AUS,Australia,2020,14.31,22.21,22.2
AUS,Australia,2021,15.8,28.259999999999998,26.36
AUS,Australia,2022,16.65,33.86,29.45
AUS,Australia,2023,15.28,41.92,30.939999999999998
AUS,Australia,2024,13.540000000000001,46.769999999999996,31.9
AUS,Australia,2025,12.91,52.65,38.39
AUS,Australia,2026,3.08,16.240000000000002,9.42
AUT,Austria,2015,33.14,0.95,4.92
