Year,ISO_Code,Temperature,Humidity,Wind_Speed,Solar_Radiation,Temp_Lag1,Humidity_Lag1,Wind_Lag1,Solar_Lag1,Temp_Lag2,Humidity_Lag2,Wind_Lag2,Solar_Lag2,Temp_Lag3,Humidity_Lag3,Wind_Lag3,Solar_Lag3,Temp_Lag4,Humidity_Lag4,Wind_Lag4,Solar_Lag4,Temp_Lag5,Humidity_Lag5,Wind_Lag5,Solar_Lag5
1995,AFG,11.59967123,34.70882192,3.21830137,5.357534247,11.7289589,38.55389041,3.246794521,5.389472055,11.5910411,34.60473973,3.568164384,5.412374795,10.88153005,41.48188525,3.143251366,5.205162568,11.58079452,37.40780822,3.199726027,5.145904658,12.27073973,36.77991781,3.295287671,5.20026137
1996,AFG,11.15980874,37.41101093,3.371557377,5.313065027,11.59967123,34.70882192,3.21830137,5.357534247,11.7289589,38.55389041,3.246794521,5.389472055,11.5910411,34.60473973,3.568164384,5.412374795,10.88153005,41.48188525,3.143251366,5.205162568,11.58079452,37.40780822,3.199726027,5.145904658
1997,AFG,11.58726027,37.37350685,2.943917808,5.226689863,11.15980874,37.41101093,3.371557377,5.313065027,11.59967123,34.70882192,3.21830137,5.357534247,11.7289589,38.55389041,3.246794521,5.389472055,11.5910411,34.60473973,3.568164384,5.412374795,10.88153005,41.48188525,3.143251366,5.205162568
1998,AFG,12.44487671,35.71027397,3.167260274,5.422191233,11.58726027,37.37350685,2.943917808,5.226689863,11.15980874,37.41101093,3.371557377,5.313065027,11.59967123,34.70882192,3.21830137,5.357534247,11.7289589,38.55389041,3.246794521,5.389472055,11.5910411,34.60473973,3.568164384,5.412374795
1999,AFG,12.8509863,31.75964384,3.182356164,5.611007945,12.44487671,35.71027397,3.167260274,5.422191233,11.58726027,37.37350685,2.943917808,5.226689863,11.15980874,37.41101093,3.371557377,5.313065027,11.59967123,34.70882192,3.21830137,5.357534247,11.7289589,38.55389041,3.246794521,5.389472055
2000,AFG,12.63221311,29.71803279,3.218879781,5.724792896,12.8509863,31.75964384,3.182356164,5.611007945,12.44487671,35.71027397,3.167260274,5.422191233,11.58726027,37.37350685,2.943917808,5.226689863,11.15980874,37.41101093,3.371557377,5.313065027,11.59967123,34.70882192,3.21830137,5.357534247
2001,AFG,13.2510137,28.20221918,3.164109589,5.746227123,12.63221311,29.71803279,3.218879781,5.724792896,12.8509863,31.75964384,3.182356164,5.611007945,12.44487671,35.71027397,3.167260274,5.422191233,11.58726027,37.37350685,2.943917808,5.226689863,11.15980874,37.41101093,3.371557377,5.313065027
2002,AFG,12.82950685,31.94468493,2.975068493,5.623349863,13.2510137,28.20221918,3.164109589,5.746227123,12.63221311,29.71803279,3.218879781,5.724792896,12.8509863,31.75964384,3.182356164,5.611007945,12.44487671,35.71027397,3.167260274,5.422191233,11.58726027,37.37350685,2.943917808,5.226689863
2003,AFG,12.35153425,35.18191781,3.010328767,5.548520274,12.82950685,31.94468493,2.975068493,5.623349863,13.2510137,28.20221918,3.164109589,5.746227123,12.63221311,29.71803279,3.218879781,5.724792896,12.8509863,31.75964384,3.182356164,5.611007945,12.44487671,35.71027397,3.167260274,5.422191233
2004,AFG,12.94215847,33.29904372,3.111311475,5.591620765,12.35153425,35.18191781,3.010328767,5.548520274,12.82950685,31.94468493,2.975068493,5.623349863,13.2510137,28.20221918,3.164109589,5.746227123,12.63221311,29.71803279,3.218879781,5.724792896,12.8509863,31.75964384,3.182356164,5.611007945
2005,AFG,11.38449315,37.34353425,3.00539726,5.42536137,12.94215847,33.29904372,3.111311475,5.591620765,12.35153425,35.18191781,3.010328767,5.548520274,12.82950685,31.94468493,2.975068493,5.623349863,13.2510137,28.20221918,3.164109589,5.746227123,12.63221311,29.71803279,3.218879781,5.724792896
2006,AFG,12.38375342,40.31619178,2.871890411,5.49682137,11.38449315,37.34353425,3.00539726,5.42536137,12.94215847,33.29904372,3.111311475,5.591620765,12.35153425,35.18191781,3.010328767,5.548520274,12.82950685,31.94468493,2.975068493,5.623349863,13.2510137,28.20221918,3.164109589,5.746227123
2007,AFG,12.14580822,38.61638356,2.966438356,5.474086575,12.38375342,40.31619178,2.871890411,5.49682137,11.38449315,37.34353425,3.00539726,5.42536137,12.94215847,33.29904372,3.111311475,5.591620765,12.35153425,35.18191781,3.010328767,5.548520274,12.82950685,31.94468493,2.975068493,5.623349863
2008,AFG,12.04103825,36.9,3.02204918,5.541884426,12.14580822,38.61638356,2.966438356,5.474086575,12.38375342,40.31619178,2.871890411,5.49682137,11.38449315,37.34353425,3.00539726,5.42536137,12.94215847,33.29904372,3.111311475,5.591620765,12.35153425,35.18191781,3.010328767,5.548520274
2009,AFG,10.96764384,45.75353425,2.867479452,5.359220822,12.04103825,36.9,3.02204918,5.541884426,12.14580822,38.61638356,2.966438356,5.474086575,12.38375342,40.31619178,2.871890411,5.49682137,11.38449315,37.34353425,3.00539726,5.42536137,12.94215847,33.29904372,3.111311475,5.591620765
2010,AFG,12.15841096,43.75884932,2.715534247,5.397214521,10.96764384,45.75353425,2.867479452,5.359220822,12.04103825,36.9,3.02204918,5.541884426,12.14580822,38.61638356,2.966438356,5.474086575,12.38375342,40.31619178,2.871890411,5.49682137,11.38449315,37.34353425,3.00539726,5.42536137
2011,AFG,11.2190137,48.4649589,2.789452055,5.512744384,12.15841096,43.75884932,2.715534247,5.397214521,10.96764384,45.75353425,2.867479452,5.359220822,12.04103825,36.9,3.02204918,5.541884426,12.14580822,38.61638356,2.966438356,5.474086575,12.38375342,40.31619178,2.871890411,5.49682137
2012,AFG,9.020218579,53.29595628,2.92489071,5.403660656,11.2190137,48.4649589,2.789452055,5.512744384,12.15841096,43.75884932,2.715534247,5.397214521,10.96764384,45.75353425,2.867479452,5.359220822,12.04103825,36.9,3.02204918,5.541884426,12.14580822,38.61638356,2.966438356,5.474086575
2013,AFG,11.49832877,45.70057534,2.735506849,5.422672603,9.020218579,53.29595628,2.92489071,5.403660656,11.2190137,48.4649589,2.789452055,5.512744384,12.15841096,43.75884932,2.715534247,5.397214521,10.96764384,45.75353425,2.867479452,5.359220822,12.04103825,36.9,3.02204918,5.541884426
2014,AFG,10.54838356,48.50224658,2.772575342,5.416480548,11.49832877,45.70057534,2.735506849,5.422672603,9.020218579,53.29595628,2.92489071,5.403660656,11.2190137,48.4649589,2.789452055,5.512744384,12.15841096,43.75884932,2.715534247,5.397214521,10.96764384,45.75353425,2.867479452,5.359220822
2015,AFG,10.96879452,51.59276712,2.898054795,5.325150411,10.54838356,48.50224658,2.772575342,5.416480548,11.49832877,45.70057534,2.735506849,5.422672603,9.020218579,53.29595628,2.92489071,5.403660656,11.2190137,48.4649589,2.789452055,5.512744384,12.15841096,43.75884932,2.715534247,5.397214521
2016,AFG,11.89540984,48.47844262,2.857650273,5.545744262,10.96879452,51.59276712,2.898054795,5.325150411,10.54838356,48.50224658,2.772575342,5.416480548,11.49832877,45.70057534,2.735506849,5.422672603,9.020218579,53.29595628,2.92489071,5.403660656,11.2190137,48.4649589,2.789452055,5.512744384
2017,AFG,12.12830137,39.53838356,3.168465753,5.582307671,11.89540984,48.47844262,2.857650273,5.545744262,10.96879452,51.59276712,2.898054795,5.325150411,10.54838356,48.50224658,2.772575342,5.416480548,11.49832877,45.70057534,2.735506849,5.422672603,9.020218579,53.29595628,2.92489071,5.403660656
2018,AFG,12.90463014,34.03723288,3.133369863,5.605089041,12.12830137,39.53838356,3.168465753,5.582307671,11.89540984,48.47844262,2.857650273,5.545744262,10.96879452,51.59276712,2.898054795,5.325150411,10.54838356,48.50224658,2.772575342,5.416480548,11.49832877,45.70057534,2.735506849,5.422672603
2019,AFG,11.4429863,45.50646575,2.911068493,5.41802,12.90463014,34.03723288,3.133369863,5.605089041,12.12830137,39.53838356,3.168465753,5.582307671,11.89540984,48.47844262,2.857650273,5.545744262,10.96879452,51.59276712,2.898054795,5.325150411,10.54838356,48.50224658,2.772575342,5.416480548
2020,AFG,10.73546448,48.34387978,3.047349727,5.326274044,11.4429863,45.50646575,2.911068493,5.41802,12.90463014,34.03723288,3.133369863,5.605089041,12.12830137,39.53838356,3.168465753,5.582307671,11.89540984,48.47844262,2.857650273,5.545744262,10.96879452,51.59276712,2.898054795,5.325150411
2021,AFG,12.32890411,40.46758904,3.136383562,5.748096712,10.73546448,48.34387978,3.047349727,5.326274044,11.4429863,45.50646575,2.911068493,5.41802,12.90463014,34.03723288,3.133369863,5.605089041,12.12830137,39.53838356,3.168465753,5.582307671,11.89540984,48.47844262,2.857650273,5.545744262
2022,AFG,11.73446575,47.9269589,3.127205479,5.404475068,12.32890411,40.46758904,3.136383562,5.748096712,10.73546448,48.34387978,3.047349727,5.326274044,11.4429863,45.50646575,2.911068493,5.41802,12.90463014,34.03723288,3.133369863,5.605089041,12.12830137,39.53838356,3.168465753,5.582307671
2023,AFG,12.35586301,42.4019726,3.174547945,5.513276438,11.73446575,47.9269589,3.127205479,5.404475068,12.32890411,40.46758904,3.136383562,5.748096712,10.73546448,48.34387978,3.047349727,5.326274044,11.4429863,45.50646575,2.911068493,5.41802,12.90463014,34.03723288,3.133369863,5.605089041
